movie_id,similar_ids,scores
3,51;96;103;31;4,0.3889;0.3431;0.3121;0.3121;0.3106
4,63;22;89;45;31,0.4159;0.4141;0.3827;0.3816;0.3747
5,4;22;40;12;95,0.3669;0.3664;0.3571;0.3566;0.3249
6,14;81;13;7;42,0.2926;0.2910;0.2854;0.2547;0.2423
7,14;57;8;63;81,0.4018;0.3720;0.3710;0.3569;0.3491
8,9;11;24;7;10,0.4209;0.4062;0.3736;0.3710;0.3585
9,8;11;10;13;79,0.4209;0.4142;0.3661;0.3465;0.3453
10,9;8;81;11;4,0.3661;0.3585;0.3572;0.3421;0.3378
11,9;8;13;10;81,0.4142;0.4062;0.3904;0.3421;0.3300
12,31;100;71;37;103,0.4032;0.3944;0.3890;0.3841;0.3725
13,74;50;11;78;87,0.4649;0.3920;0.3904;0.3764;0.3554
14,91;29;7;31;81,0.4791;0.4317;0.4018;0.3879;0.3655
15,74;105;75;73;61,0.3576;0.3476;0.3433;0.3386;0.3361
16,93;76;42;69;23,0.3715;0.3115;0.3044;0.2987;0.2851
17,65;102;51;42;49,0.3785;0.3242;0.3135;0.3041;0.2972
18,89;15;12;45;82,0.3376;0.3349;0.3333;0.3310;0.3209
19,39;47;30;44;18,0.5383;0.4528;0.3528;0.3476;0.3194
20,56;97;36;105;101,0.4042;0.3465;0.3272;0.3263;0.3228
21,26;42;102;94;22,0.3484;0.3342;0.3317;0.3243;0.3190
22,63;106;58;45;70,0.7188;0.5075;0.4874;0.4284;0.4281
23,27;93;18;16;25,0.3367;0.3113;0.2972;0.2851;0.2771
24,82;25;50;28;74,0.7351;0.5495;0.4769;0.4713;0.4496
25,24;82;28;58;78,0.5495;0.4985;0.4532;0.4228;0.3726
26,82;59;24;86;35,0.4816;0.4536;0.3858;0.3769;0.3747
27,23;93;16;13;69,0.3367;0.3198;0.2811;0.2777;0.2690
28,46;57;24;82;25,0.4859;0.4766;0.4713;0.4704;0.4532
29,14;103;12;77;78,0.4317;0.3701;0.3676;0.3643;0.3607
30,44;45;22;37;51,0.4542;0.4511;0.3783;0.3650;0.3609
31,37;36;64;91;71,0.5899;0.5048;0.4468;0.4282;0.4211
32,103;58;28;102;37,0.3844;0.3680;0.3511;0.3471;0.3467
33,49;54;26;40;58,0.4217;0.3739;0.3547;0.3523;0.3420
34,99;77;59;55;94,0.3877;0.3848;0.3312;0.3211;0.3079
35,45;26;46;78;57,0.3967;0.3747;0.3244;0.3128;0.3111
36,37;31;64;61;49,0.5172;0.5048;0.4312;0.4258;0.3701
37,31;64;41;36;61,0.5899;0.5587;0.5249;0.5172;0.4307
38,97;105;15;80;47,0.3531;0.3495;0.2902;0.2857;0.2763
39,19;52;73;47;64,0.5383;0.4093;0.4065;0.3575;0.3490
40,96;5;33;78;87,0.4887;0.3571;0.3523;0.3488;0.3363
41,37;54;45;28;64,0.5249;0.4696;0.4203;0.4176;0.4108
42,55;43;57;69;101,0.3872;0.3679;0.3551;0.3479;0.3410
43,42;70;103;94;48,0.3679;0.3228;0.3153;0.3069;0.3061
44,45;63;30;72;22,0.4804;0.4586;0.4542;0.4138;0.4129
45,44;82;63;99;30,0.4804;0.4796;0.4705;0.4549;0.4511
46,28;57;82;58;24,0.4859;0.4690;0.4406;0.4389;0.4237
47,77;19;39;62;84,0.5187;0.4528;0.3575;0.3351;0.3013
48,103;88;67;40;95,0.3368;0.3325;0.3280;0.3249;0.3203
49,54;33;37;53;41,0.4486;0.4217;0.4202;0.3859;0.3713
50,24;74;13;82;87,0.4769;0.4617;0.3920;0.3740;0.3720
51,102;3;30;96;59,0.4040;0.3889;0.3609;0.3457;0.3298
52,39;36;86;55;64,0.4093;0.3677;0.3260;0.3147;0.3139
53,95;24;81;86;82,0.4398;0.4045;0.4036;0.3967;0.3944
54,41;49;92;85;81,0.4696;0.4486;0.4460;0.4341;0.4320
55,42;86;64;45;28,0.3872;0.3778;0.3552;0.3488;0.3373
56,20;62;45;58;103,0.4042;0.3710;0.3539;0.3532;0.3520
57,28;46;82;58;24,0.4766;0.4690;0.4455;0.4353;0.4206
58,82;22;63;46;57,0.5229;0.4874;0.4406;0.4389;0.4353
59,77;26;99;82;70,0.5726;0.4536;0.3489;0.3478;0.3409
60,78;106;40;105;71,0.3312;0.3004;0.2981;0.2946;0.2904
61,81;74;37;36;24,0.4561;0.4496;0.4307;0.4258;0.4227
62,45;56;99;84;47,0.3755;0.3710;0.3649;0.3396;0.3351
63,22;106;45;44;58,0.7188;0.4754;0.4705;0.4586;0.4406
64,37;31;28;36;61,0.5587;0.4468;0.4324;0.4312;0.4181
65,86;17;39;73;25,0.3840;0.3785;0.3339;0.3307;0.3258
66,78;97;71;100;101,0.4192;0.3875;0.3793;0.3724;0.3536
67,57;86;45;56;48,0.3482;0.3370;0.3354;0.3335;0.3280
68,65;51;64;103;17,0.3114;0.3093;0.2992;0.2849;0.2715
69,74;82;58;75;57,0.4337;0.4271;0.3992;0.3875;0.3817
70,22;106;63;54;26,0.4281;0.3914;0.3899;0.3819;0.3670
71,91;31;100;12;89,0.4444;0.4211;0.4129;0.3890;0.3824
72,44;45;63;22;70,0.4138;0.3476;0.3381;0.3221;0.3193
73,39;90;86;58;69,0.4065;0.3806;0.3667;0.3631;0.3607
74,13;50;24;61;82,0.4649;0.4617;0.4496;0.4496;0.4361
75,69;15;95;63;70,0.3875;0.3433;0.3410;0.3320;0.3266
76,70;15;59;75;82,0.3567;0.3340;0.3237;0.3197;0.3189
77,59;47;97;34;29,0.5726;0.5187;0.3903;0.3848;0.3643
78,66;37;24;53;31,0.4192;0.4107;0.3974;0.3883;0.3775
79,86;89;80;39;9,0.4267;0.4033;0.3636;0.3467;0.3453
80,86;74;82;89;88,0.4289;0.4237;0.3875;0.3740;0.3662
81,92;85;61;54;53,0.8278;0.5566;0.4561;0.4320;0.4036
82,24;58;25;26;45,0.7351;0.5229;0.4985;0.4816;0.4796
83,28;25;32;100;103,0.2929;0.2784;0.2634;0.2612;0.2606
84,88;82;78;58;25,0.4022;0.3722;0.3584;0.3491;0.3472
85,92;81;54;74;93,0.6974;0.5566;0.4341;0.3567;0.3362
86,24;80;79;101;90,0.4318;0.4289;0.4267;0.4176;0.4149
87,64;61;74;58;50,0.4042;0.3994;0.3758;0.3732;0.3720
88,84;80;74;48;82,0.4022;0.3662;0.3407;0.3325;0.3226
89,57;79;74;4;71,0.4077;0.4033;0.3971;0.3827;0.3824
90,86;73;69;50;82,0.4149;0.3806;0.3316;0.3242;0.3186
91,14;71;31;12;100,0.4791;0.4444;0.4282;0.3661;0.3639
92,81;85;54;61;53,0.8278;0.6974;0.4460;0.3948;0.3787
93,98;16;85;27;81,0.4119;0.3715;0.3362;0.3198;0.3168
94,37;103;31;21;10,0.3493;0.3354;0.3285;0.3243;0.3227
95,53;86;58;82;45,0.4398;0.3825;0.3774;0.3749;0.3712
96,40;97;105;51;3,0.4887;0.4660;0.3704;0.3457;0.3431
97,105;96;77;66;38,0.4775;0.4660;0.3903;0.3875;0.3531
98,93;59;76;102;69,0.4119;0.3131;0.3130;0.2953;0.2832
99,45;34;62;86;105,0.4549;0.3877;0.3649;0.3562;0.3560
100,71;12;66;91;78,0.4129;0.3944;0.3724;0.3639;0.3483
101,86;58;54;92;61,0.4176;0.3992;0.3647;0.3579;0.3565
102,51;101;58;32;21,0.4040;0.3562;0.3530;0.3471;0.3317
103,104;37;32;12;29,0.6283;0.3859;0.3844;0.3725;0.3701
104,103;28;12;37;69,0.6283;0.3725;0.3696;0.3442;0.3336
105,97;96;99;38;15,0.4775;0.3704;0.3560;0.3495;0.3476
106,22;63;70;12;78,0.5075;0.4754;0.3914;0.3715;0.3603
